epoch,step,test_acc:,test_loss:,train_acc:,train_loss:
0,49,,,0.53125,1.0489373207092285
0,99,,,0.59375,0.9732509851455688
1,149,,,0.59375,0.9714211821556091
1,199,,,0.65625,0.9040244817733765
2,249,,,0.625,0.9404131174087524
2,299,,,0.6875,0.8560777902603149
3,349,,,0.5625,0.9618162512779236
3,399,,,0.78125,0.7581682205200195
3,449,,,0.59375,0.961628258228302
4,499,,,0.65625,0.7544689178466797
4,549,,,0.75,0.7164095044136047
5,565,0.641644299030304,0.8213844299316406,,
