epoch,step,test_acc:,test_loss:,train_acc:,train_loss:
0,49,,,0.75,0.5713590383529663
0,99,,,0.625,0.7152800559997559
1,149,,,0.5625,0.8301578760147095
1,199,,,0.71875,0.6184417605400085
2,249,,,0.78125,0.5576632022857666
2,299,,,0.75,0.5157329440116882
3,339,0.644325315952301,0.8298655152320862,,
3,339,0.644325315952301,0.8298655152320862,,
3,339,0.644325315952301,0.8298655152320862,,
